date,gvkey,weight
2026-03-01,COR,0.014285714285714285
2026-03-01,CAH,0.014285714285714285
2026-03-01,MCK,0.014285714285714285
2026-03-01,ABEV,0.014285714285714285
2026-03-01,ADM,0.014285714285714285
2026-03-01,MO,0.014285714285714285
2026-03-01,FMX,0.014285714285714285
2026-03-01,HCA,0.014285714285714285
2026-03-01,EXC,0.014285714285714285
2026-03-01,BTI,0.014285714285714285
2026-03-01,EIX,0.014285714285714285
2026-03-01,ABBV,0.014285714285714285
2026-03-01,AXIA,0.014285714285714285
2026-03-01,AMGN,0.014285714285714285
2026-03-01,A,0.014285714285714285
2026-03-01,ISRG,0.014285714285714285
2026-03-01,BMY,0.014285714285714285
2026-03-01,COHR,0.014285714285714285
2026-03-01,CRDO,0.014285714285714285
2026-03-01,JBL,0.014285714285714285
2026-03-01,NVDA,0.014285714285714285
2026-03-01,FLEX,0.014285714285714285
2026-03-01,META,0.014285714285714285
2026-03-01,ARM,0.014285714285714285
2026-03-01,CIEN,0.014285714285714285
2026-03-01,GLW,0.014285714285714285
2026-03-01,MPWR,0.014285714285714285
2026-03-01,ANET,0.014285714285714285
2026-03-01,AMAT,0.014285714285714285
2026-03-01,FTNT,0.014285714285714285
2026-03-01,KLAC,0.014285714285714285
2026-03-01,HOOD,0.014285714285714285
2026-03-01,BRK-A,0.014285714285714285
2026-03-01,F,0.014285714285714285
2026-03-01,DASH,0.014285714285714285
2026-03-01,MELI,0.014285714285714285
2026-03-01,CNI,0.014285714285714285
2026-03-01,CVNA,0.014285714285714285
2026-03-01,APO,0.014285714285714285
2026-03-01,ITUB,0.014285714285714285
2026-03-01,FER,0.014285714285714285
2026-03-01,BLK,0.014285714285714285
2026-03-01,MCD,0.014285714285714285
2026-03-01,AXON,0.014285714285714285
2026-03-01,CARR,0.014285714285714285
2026-03-01,GM,0.014285714285714285
2026-03-01,AMP,0.014285714285714285
2026-03-01,HD,0.014285714285714285
2026-03-01,AFL,0.014285714285714285
2026-03-01,BX,0.014285714285714285
2026-03-01,DAL,0.014285714285714285
2026-03-01,MFC,0.014285714285714285
2026-03-01,AME,0.014285714285714285
2026-03-01,CME,0.014285714285714285
2026-03-01,AIG,0.014285714285714285
2026-03-01,DE,0.014285714285714285
2026-03-01,HON,0.014285714285714285
2026-03-01,MS,0.014285714285714285
2026-03-01,HBAN,0.014285714285714285
2026-03-01,FTI,0.014285714285714285
2026-03-01,AEM,0.014285714285714285
2026-03-01,KGC,0.014285714285714285
2026-03-01,CCJ,0.014285714285714285
2026-03-01,GFI,0.014285714285714285
2026-03-01,DOW,0.014285714285714285
2026-03-01,B,0.014285714285714285
2026-03-01,FNV,0.014285714285714285
2026-03-01,E,0.014285714285714285
2026-03-01,EC,0.014285714285714285
2026-03-01,ET,0.014285714285714285
